bucketStartMillis,count,throughputMsgPerSec
1770668150000,12194,1219.4
1770668160000,13582,1358.2
1770668170000,13626,1362.6
1770668180000,13877,1387.7
1770668190000,13860,1386.0
1770668200000,14026,1402.6
1770668210000,13960,1396.0
1770668220000,13749,1374.9
1770668230000,13949,1394.9
1770668240000,13816,1381.6
1770668250000,13655,1365.5
1770668260000,13920,1392.0
1770668270000,13717,1371.7
1770668280000,13379,1337.9
1770668290000,13741,1374.1
1770668300000,13344,1334.4
1770668310000,13639,1363.9
1770668320000,13827,1382.7
1770668330000,13688,1368.8
1770668340000,13733,1373.3
1770668350000,13718,1371.8
1770668360000,13573,1357.3
1770668370000,13670,1367.0
1770668380000,14128,1412.8
1770668390000,13956,1395.6
1770668400000,13990,1399.0
1770668410000,14089,1408.9
1770668420000,14171,1417.1
1770668430000,13931,1393.1
1770668440000,13909,1390.9
1770668450000,14031,1403.1
1770668460000,13734,1373.4
1770668470000,13999,1399.9
1770668480000,13870,1387.0
1770668490000,12537,1253.7
1770668500000,9802,980.2
1770668510000,6357,635.7
1770668520000,3073,307.3
1770668530000,180,18.0
