bucketStartMillis,count,throughputMsgPerSec
1772693950000,17099,1709.9
1772693960000,14294,1429.4
1772693970000,10987,1098.7
1772693980000,8590,859.0
1772693990000,6559,655.9
1772694000000,4037,403.7
1772694010000,6198,619.8
1772694020000,8093,809.3
1772694030000,9137,913.7
1772694040000,8754,875.4
1772694050000,8875,887.5
1772694060000,7583,758.3
1772694070000,7793,779.3
1772694080000,8048,804.8
1772694090000,7822,782.2
1772694100000,7574,757.4
1772694110000,8159,815.9
1772694120000,7407,740.7
1772694130000,8435,843.5
1772694140000,7818,781.8
1772694150000,8463,846.3
1772694160000,7714,771.4
1772694170000,8851,885.1
1772694180000,6291,629.1
1772694190000,7943,794.3
1772694200000,8309,830.9
1772694210000,8660,866.0
1772694220000,8196,819.6
1772694230000,8636,863.6
1772694240000,6750,675.0
1772694250000,7313,731.3
1772694260000,7935,793.5
1772694270000,8720,872.0
1772694280000,8174,817.4
1772694290000,8629,862.9
1772694300000,6399,639.9
1772694310000,7312,731.2
1772694320000,7656,765.6
1772694330000,8496,849.6
1772694340000,8171,817.1
1772694350000,8205,820.5
1772694360000,6737,673.7
1772694370000,8015,801.5
1772694380000,7928,792.8
1772694390000,8504,850.4
1772694400000,8049,804.9
1772694410000,8459,845.9
1772694420000,7357,735.7
1772694430000,7730,773.0
1772694440000,8103,810.3
1772694450000,8387,838.7
1772694460000,7887,788.7
1772694470000,8157,815.7
1772694480000,7757,775.7
1772694490000,8670,867.0
1772694500000,7186,718.6
1772694510000,8226,822.6
1772694520000,8039,803.9
1772694530000,8355,835.5
1772694540000,7878,787.8
1772694550000,7123,712.3
1772694560000,1368,136.8
