bucketStartMillis,count,throughputMsgPerSec
1772697370000,11607,1160.7
1772697380000,49540,4954.0
1772697390000,47491,4749.1
1772697400000,38755,3875.5
1772697410000,29511,2951.1
1772697420000,22620,2262.0
1772697430000,19760,1976.0
1772697440000,21520,2152.0
1772697450000,26378,2637.8
1772697460000,26268,2626.8
1772697470000,24166,2416.6
1772697480000,25695,2569.5
1772697490000,29096,2909.6
1772697500000,28163,2816.3
1772697510000,28793,2879.3
1772697520000,28113,2811.3
1772697530000,27074,2707.4
1772697540000,15450,1545.0
