bucketStartMillis,count,throughputMsgPerSec
1772697900000,40448,4044.8
1772697910000,36767,3676.7
1772697920000,30604,3060.4
1772697930000,29410,2941.0
1772697940000,29532,2953.2
1772697950000,26957,2695.7
1772697960000,20884,2088.4
1772697970000,27301,2730.1
1772697980000,26754,2675.4
1772697990000,6107,610.7
1772698000000,25992,2599.2
1772698010000,32954,3295.4
1772698020000,30346,3034.6
1772698030000,30161,3016.1
1772698040000,29659,2965.9
1772698050000,29125,2912.5
1772698060000,26514,2651.4
1772698070000,27408,2740.8
1772698080000,25921,2592.1
1772698090000,23884,2388.4
1772698100000,24041,2404.1
1772698110000,29188,2918.8
1772698120000,29285,2928.5
1772698130000,29583,2958.3
1772698140000,30450,3045.0
1772698150000,25844,2584.4
1772698160000,28147,2814.7
1772698170000,26368,2636.8
1772698180000,24494,2449.4
1772698190000,23365,2336.5
1772698200000,20156,2015.6
1772698210000,23253,2325.3
1772698220000,26250,2625.0
1772698230000,26850,2685.0
1772698240000,30278,3027.8
1772698250000,29755,2975.5
1772698260000,15965,1596.5
