bucketStartMillis,count,throughputMsgPerSec
1773981320000,13034,1303.4
1773981330000,17841,1784.1
1773981340000,17034,1703.4
1773981350000,14747,1474.7
1773981360000,13147,1314.7
1773981370000,11484,1148.4
1773981380000,10862,1086.2
1773981390000,11835,1183.5
1773981400000,11805,1180.5
1773981410000,11987,1198.7
1773981420000,12247,1224.7
1773981430000,11905,1190.5
1773981440000,11534,1153.4
1773981450000,12501,1250.1
1773981460000,12303,1230.3
1773981470000,12290,1229.0
1773981480000,12226,1222.6
1773981490000,11439,1143.9
1773981500000,12209,1220.9
1773981510000,11939,1193.9
1773981520000,11972,1197.2
1773981530000,12292,1229.2
1773981540000,12385,1238.5
1773981550000,12304,1230.4
1773981560000,12152,1215.2
1773981570000,11521,1152.1
1773981580000,10867,1086.7
1773981590000,11348,1134.8
1773981600000,11150,1115.0
1773981610000,11920,1192.0
1773981620000,11849,1184.9
1773981630000,10769,1076.9
1773981640000,11109,1110.9
1773981650000,11473,1147.3
1773981660000,12582,1258.2
1773981670000,12279,1227.9
1773981680000,12427,1242.7
1773981690000,12434,1243.4
1773981700000,11767,1176.7
1773981710000,11376,1137.6
1773981720000,9647,964.7
1773981730000,2,0.2
1773981740000,4,0.4
1773981750000,2,0.2
